ScientificName,BirdTreeName,Avibase.ID,gbif_dwnld_date,gbif_TaxonKey,maxrecords_in_gbif,maxrecords_PRESENT_only,comments_gbif,gbif_dwnld_type,cleaned_records
Auriparus flaviceps,Auriparus flaviceps,AVIBASE-A5EFA84D,9/26/2022,2487397,639247,639197,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2487397&occurrence_status=present,manual,275872
Regulus satrapa,Regulus satrapa,AVIBASE-154BCCAE,10/3/2022,2484591,2221810,2221460,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484591&occurrence_status=present,manual,1125761
Regulus calendula,Regulus calendula,AVIBASE-B60B1166,9/30/2022,2484597,4711435,4711151,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484597&occurrence_status=present,manual,2102647
Polioptila caerulea,Polioptila caerulea,AVIBASE-A15C5071,9/29/2022,2487596,3467961,3467794,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2487596&occurrence_status=present,manual,1706983
Polioptila melanura,Polioptila melanura,AVIBASE-C05CE29C,9/30/2022,2487586,183770,183704,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2487586&occurrence_status=present,manual,159084
Myadestes townsendi,Myadestes townsendi,AVIBASE-5459228D,9/28/2022,2490849,351648,351548,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490849&occurrence_status=present,manual,154654
Hylocichla mustelina,Hylocichla mustelina,AVIBASE-8E1D9327,9/28/2022,2490872,1441728,1441663,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490872&occurrence_status=present,manual,882772
Catharus fuscescens,Catharus fuscescens,AVIBASE-0B8F4EE6,9/26/2022,2490804,930848,930794,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490804&occurrence_status=present,manual,442001
Catharus ustulatus,Catharus ustulatus,AVIBASE-B066CD21,9/26/2022,2490821,1576102,1575778,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490821&occurrence_status=present,manual,575076
Catharus guttatus,Catharus guttatus,AVIBASE-B01E8BD4,9/26/2022,2490810,2196317,2196023,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490810&occurrence_status=present,manual,1071639
Turdus migratorius,Turdus migratorius,AVIBASE-7738F2BC,10/1/2022,9510564,18211466,18211231,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9510564&occurrence_status=present,manual,7797442
Ixoreus naevius,Zoothera naevia,AVIBASE-58312873,9/28/2022,2490926,474238,474182,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490926&occurrence_status=present,manual,38404
Sialia sialis,Sialia sialis,AVIBASE-A8347C7D,9/30/2022,2490941,4893981,4893906,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490941&occurrence_status=present,manual,2450264
Sialia mexicana,Sialia mexicana,AVIBASE-AC2B812A,9/30/2022,2490936,1018548,1018446,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490936&occurrence_status=present,manual,984741
Sialia currucoides,Sialia currucoides,AVIBASE-97B870B4,9/30/2022,2490935,380949,380825,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490935&occurrence_status=present,manual,342173
Streptopelia decaocto,Streptopelia decaocto,AVIBASE-0C1EFC9B,10/3/2022,2495696,5431814,5415476,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2495696&occurrence_status=present,manual,2518139
