"Species","mass_gm","source"
"Aerodramus sororum",21.5,"combined: BirdLife, eBird, BirdTree"
"Aerodramus spodiopygius",8.015,"combined: BirdLife, eBird, BirdTree"
"Aerodramus terraereginae",12,"combined: BirdLife, eBird, BirdTree"
"Aerodramus unicolor",11,"combined: BirdLife, eBird, BirdTree"
"Aerodramus vanikorensis",10.7,"combined: BirdLife, eBird, BirdTree"
"Aerodramus vulcanorum",13.41,"combined: BirdLife, eBird, BirdTree"
"Aerodramus whiteheadi",14,"combined: BirdLife, eBird, BirdTree"
"Aeronautes andecolus",17.6,"combined: BirdLife, eBird, BirdTree"
"Aeronautes montivagus",20.1266666666667,"combined: BirdLife, eBird, BirdTree"
"Aeronautes saxatalis",32.1,"combined: BirdLife, eBird, BirdTree"
"Aethia cristatella",259.373333333333,"combined: BirdLife, eBird, BirdTree"
"Aethia psittacula",269.986666666667,"combined: BirdLife, eBird, BirdTree"
"Aethia pusilla",83.9933333333333,"combined: BirdLife, eBird, BirdTree"
"Aethia pygmaea",112,"combined: BirdLife, eBird, BirdTree"
"Aethopyga bella",4,"combined: BirdLife, eBird, BirdTree"
"Aethopyga boltoni",7.09333333333333,"combined: BirdLife, eBird, BirdTree"
"Aethopyga christinae",5.2,"combined: BirdLife, eBird, BirdTree"
"Aethopyga decorosa",5.6,"combined: BirdLife, eBird, BirdTree"
"Aethopyga duyvenbodei",6.02,"combined: BirdLife, eBird, BirdTree"
"Aethopyga eximia",5.2,"combined: BirdLife, eBird, BirdTree"
"Aethopyga flagrans",6.7,"combined: BirdLife, eBird, BirdTree"
"Aethopyga gouldiae",5,"combined: BirdLife, eBird, BirdTree"
"Aethopyga guimarasensis",6.7,"combined: BirdLife, eBird, BirdTree"
"Aethopyga ignicauda",8.2,"combined: BirdLife, eBird, BirdTree"
"Aethopyga jefferyi",6.7,"combined: BirdLife, eBird, BirdTree"
"Aethopyga latouchii",5.2,"combined: BirdLife, eBird, BirdTree"
"Aethopyga linaraborae",7.2,"combined: BirdLife, eBird, BirdTree"
"Aethopyga magnifica",9.3,"combined: BirdLife, eBird, BirdTree"
"Aethopyga mystacalis",6,"combined: BirdLife, eBird, BirdTree"
"Aethopyga nipalensis",6.9,"combined: BirdLife, eBird, BirdTree"
"Aethopyga primigenia",7,"combined: BirdLife, eBird, BirdTree"
"Aethopyga pulcherrima",6.2,"combined: BirdLife, eBird, BirdTree"
"Aethopyga saturata",5.3,"combined: BirdLife, eBird, BirdTree"
"Aethopyga shelleyi",4,"combined: BirdLife, eBird, BirdTree"
"Aethopyga siparaja",6.7,"combined: BirdLife, eBird, BirdTree"
"Aethopyga temminckii",6,"combined: BirdLife, eBird, BirdTree"
"Aethopyga tibolii",6.3,"combined: BirdLife, eBird, BirdTree"
"Aethopyga vigorsii",6.7,"combined: BirdLife, eBird, BirdTree"
"Afropavo congensis",1273.66666666667,"combined: BirdLife, eBird, BirdTree"
"Afrotis afra",689.99,"combined: BirdLife, eBird, BirdTree"
"Afrotis afraoides",745,"combined: BirdLife, eBird, BirdTree"
"Agamia agami",566.993333333333,"combined: BirdLife, eBird, BirdTree"
"Agapornis canus",30,"combined: BirdLife, eBird, BirdTree"
"Agapornis fischeri",48.3,"combined: BirdLife, eBird, BirdTree"
"Agapornis lilianae",37.3,"combined: BirdLife, eBird, BirdTree"
"Agapornis nigrigenis",40.5,"combined: BirdLife, eBird, BirdTree"
"Agapornis personatus",52.3866666666667,"combined: BirdLife, eBird, BirdTree"
"Agapornis pullarius",39.3,"combined: BirdLife, eBird, BirdTree"
"Agapornis roseicollis",53.82,"combined: BirdLife, eBird, BirdTree"
"Agapornis swindernianus",39.9866666666667,"combined: BirdLife, eBird, BirdTree"
