"AOU","nint","tail95","abs.avg.td.ab.sig","fab.sig","ftas.sig","ftas5.sig","abs.avg.td.tas5.sig","fpr.sig","fpr5.sig","abs.avg.td.pr5.sig","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName"
5870,6417,"UT",0.000862853950118343,-0.341828708073752,-0.310117181052979,0.593364386696086,0.000332224019495254,-0.766776990912584,-0.319116414442824,0.000417081835280665,"Passeriformes","Passerellidae","Pipilo","erythrophthalmus","Eastern Towhee","Pipilo erythrophthalmus","Pipilo erythrophthalmus"
5880,287,"UT",0.000617950928140441,-1,NA,1,0.000250094088795542,-1,-1,0.000563178641703329,"Passeriformes","Passerellidae","Pipilo","maculatus","Spotted Towhee","Pipilo maculatus","Pipilo maculatus"
5930,12042,"UT",0.00109477792871582,-0.093035880311064,0.0234560570071261,0.624258289703316,0.00033159204109658,-0.590257378464344,0.364175839203431,0.00048085642938934,"Passeriformes","Cardinalidae","Cardinalis","cardinalis","Northern Cardinal","Cardinalis cardinalis","Cardinalis cardinalis"
5950,2541,"LT",0.000189505352634906,1,1,1,0.000197458543990061,0.0688616535105942,0.522285273367902,0.000297689546884019,"Passeriformes","Cardinalidae","Pheucticus","ludovicianus","Rose-breasted Grosbeak","Pheucticus ludovicianus","Pheucticus ludovicianus"
5970,1951,"LT",0.000314053188126521,1,-1,-0.133960897900072,0.000123317444641094,-1,-0.442534358257629,0.000516043631831658,"Passeriformes","Cardinalidae","Passerina","caerulea","Blue Grosbeak","Passerina caerulea","Passerina caerulea"
5980,12213,"UT",0.00116265269400773,-0.216072633580762,-0.107180459044008,0.630772550712128,0.000264412371463435,-0.440893100325472,0.582160857893697,0.000341757288087324,"Passeriformes","Cardinalidae","Passerina","cyanea","Indigo Bunting","Passerina cyanea","Passerina cyanea"
6010,143,"UT",0.00114397797324627,-1,NA,-1,0.000394727223995517,NA,NA,0,"Passeriformes","Cardinalidae","Passerina","ciris","Painted Bunting","Passerina ciris","Passerina ciris"
6040,2140,"UT",0.00304829203165196,-0.589146458711676,0.540983606557378,0.714131088394468,0.00135383763717477,-0.806730737569877,0.180290647297552,0.00191757281127192,"Passeriformes","Cardinalidae","Spiza","americana","Dickcissel","Spiza americana","Spiza americana"
6050,57,"UT",0.00302891374778409,-1,NA,NA,0,NA,NA,0,"Passeriformes","Passerellidae","Calamospiza","melanocorys","Lark Bunting","Calamospiza melanocorys","Calamospiza melanocorys"
6070,188,"UT",0.00155497071688042,-1,-1,1,0.000251130550819186,NA,NA,0,"Passeriformes","Cardinalidae","Piranga","ludoviciana","Western Tanager","Piranga ludoviciana","Piranga ludoviciana"
