AOU,fLU_ab,fLU_pr,fLU_tas,fLU_tasmax,fLU_tasmin,Diet.5Cat,IUCN_status,tail,ORDER,Family,Genus,Species,English_Common_Name,ScientificName,BirdTreeName,comments
4560,-0.06331887,-0.561476469,0.444319566,0.671304694,-0.018523888,Invertebrate,LC,UT,Passeriformes,Tyrannidae,Sayornis,phoebe,Eastern Phoebe,Sayornis phoebe,Sayornis phoebe,
4570,0.749182116,0.351833225,0.403965304,0.513738167,0.336555891,Invertebrate,LC,LT,Passeriformes,Tyrannidae,Sayornis,saya,Say's Phoebe,Sayornis saya,Sayornis saya,
4580,-0.58891455,0.271410913,-0.149689144,0.419839142,0.061845861,Invertebrate,LC,UT,Passeriformes,Tyrannidae,Sayornis,nigricans,Black Phoebe,Sayornis nigricans,Sayornis nigricans,
4590,-0.495798319,-0.829608295,0.115116017,0.644006436,-0.353389656,Invertebrate,NT,UT,Passeriformes,Tyrannidae,Contopus,cooperi,Olive-sided Flycatcher,Contopus cooperi,Contopus cooperi,
4610,-0.145988823,-0.596224745,0.63935363,0.779162006,0.295063977,Invertebrate,LC,UT,Passeriformes,Tyrannidae,Contopus,virens,Eastern Wood-Pewee,Contopus virens,Contopus virens,
4620,0.05129829,-0.256994946,0.101877608,0.347790882,-0.005275842,Invertebrate,LC,LT,Passeriformes,Tyrannidae,Contopus,sordidulus,Western Wood-Pewee,Contopus sordidulus,Contopus sordidulus,
4641,0.455026455,-0.206958856,-0.585108287,-0.462966582,-0.616479724,Invertebrate,LC,LT,Passeriformes,Tyrannidae,Empidonax,difficilis,Pacific-slope Flycatcher,Empidonax difficilis,Empidonax difficilis,
4650,0.141786506,-0.807804823,0.699986341,0.801041626,0.208361892,Invertebrate,LC,LT,Passeriformes,Tyrannidae,Empidonax,virescens,Acadian Flycatcher,Empidonax virescens,Empidonax virescens,
4660,0.35940919,-0.183632223,-0.250692137,0.295238095,-0.407767655,Invertebrate,LC,LT,Passeriformes,Tyrannidae,Empidonax,traillii,Willow Flycatcher,Empidonax traillii,Empidonax traillii,
4661,0.165617301,0.023991258,0.011591674,0.151996898,-0.505317263,Invertebrate,LC,LT,Passeriformes,Tyrannidae,Empidonax,alnorum,Alder Flycatcher,Empidonax alnorum,Empidonax alnorum,
