"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
1440,0,400,2,0,2,0,1,1,0.0385375494071146,-0.0286561264822134
1460,0,400,6,0,6,0,0,6,0,-0.0503952569169963
1490,0,400,20,0,20,0,1,19,0.0138339920948616,-0.217391304347827
1500,0,400,1,0,1,0,0,1,0,-0.0138339920948617
1510,0,400,0,0,0,0,0,0,0,0
1530,0,400,0,0,0,0,0,0,0,0
1670,0,400,1,0,1,0,0,1,0,-0.00988142292490124
1720,0,400,264,0,264,0,148,113,4.29743083003953,-1.78458498023716
1770,0,400,3,0,3,0,1,2,0.00988142292490118,-0.0177865612648221
1810,0,400,1,0,1,0,1,0,0.00889328063241107,0
1840,0,400,31,0,31,0,8,22,0.0810276679841898,-0.822134387351779
1870,0,400,0,0,0,0,0,0,0,0
1900,0,400,3,0,3,0,1,2,0.000988142292490057,-0.0108695652173914
1940,0,400,293,0,293,0,146,141,2.73715415019763,-2.12450592885376
1960,0,400,128,0,128,0,61,64,1.89229249011858,-1.44268774703557
1970,0,400,3,0,3,0,1,2,0.00494071146245062,-0.0434782608695652
1990,0,400,1,0,1,0,0,1,0,-0.0454545454545454
2000,0,400,29,0,29,0,17,11,0.597826086956522,-0.264822134387352
2001,0,400,257,0,257,0,112,140,2.65711462450593,-3.11462450592885
2010,0,400,33,0,33,0,16,17,0.4199604743083,-0.327075098814229
2060,0,400,285,0,285,0,164,108,2.43873517786561,-1.28063241106719
2110,0,400,6,0,6,0,1,5,0.00197628458498023,-0.120553359683795
2120,0,400,0,0,0,0,0,0,0,0
2140,0,400,40,0,40,0,6,34,0.161067193675889,-0.40711462450593
2190,0,400,0,0,0,0,0,0,0,0
2210,0,400,21,0,21,0,7,14,0.237154150197628,-0.137351778656127
2240,0,400,10,0,10,0,0,10,0,-0.0681818181818186
2250,0,400,1,0,1,0,0,1,0,-0.000988142292490168
2260,0,400,0,0,0,0,0,0,0,0
2300,0,400,659,0,659,0,282,366,9.85177865612648,-6.60177865612649
2490,0,400,102,0,102,0,26,75,0.33596837944664,-2.34288537549407
2540,0,400,0,0,0,0,0,0,0,0
2550,0,400,1,0,1,0,1,0,0.0217391304347826,0
2580,0,400,60,0,60,0,10,49,0.104743083003953,-1.90612648221344
2610,0,400,298,0,298,0,101,191,1.0701581027668,-2.25494071146245
2630,0,400,48,0,48,0,24,23,0.905138339920948,-1.01778656126482
2640,0,400,32,0,32,0,13,17,0.435770750988142,-0.634387351778656
2730,0,400,13029,8,13021,0,8520,4253,197.450592885375,-64.1422924901186
2882,0,400,0,0,0,0,0,0,0,0
2890,0,400,4859,0,4859,0,2972,1786,50.0711462450593,-25.7154150197629
2920,0,400,19,0,19,0,10,9,0.636363636363636,-0.279644268774704
2930,0,400,173,4,169,0,75,90,3.81126482213439,-3.6897233201581
2940,0,400,243,0,243,0,105,137,4.43873517786561,-9.67292490118577
2950,0,400,187,0,187,0,144,41,9.52865612648221,-1.04545454545455
2971,0,400,3,0,3,0,1,2,0.00395256916996045,-0.103754940711463
3091,0,400,1519,0,1519,0,899,593,22.4169960474308,-10.796442687747
3100,0,400,17,0,17,0,5,11,0.115612648221344,-0.204545454545455
3120,0,400,33,0,33,0,8,25,0.191699604743083,-0.99802371541502
3131,0,400,4270,1,4269,0,2604,1571,51.0375494071146,-22.5592885375494
3160,0,400,39600,55,39545,0,23124,15695,567.877470355731,-310.933794466403
3190,0,400,153,4,149,0,112,34,6.37154150197629,-1.11067193675889
3200,0,400,63,0,63,0,13,49,0.156126482213439,-1.09782608695652
