AOU,English_Common_Name,ScientificName,BirdTreeName,mig_NB_BBS,comments,source
7280,Red-breasted Nuthatch,Sitta canadensis,Sitta canadensis,1,NA,NA
7310,Tufted Titmouse,Baeolophus bicolor,Baeolophus bicolor,1,NA,NA
7350,Black-capped Chickadee,Poecile atricapillus,Parus atricapillus,1,NA,NA
7360,Carolina Chickadee,Poecile carolinensis,Parus carolinensis,0,NA,https://birdsoftheworld.org/bow/species/carchi/cur/movement
7380,Mountain Chickadee,Poecile gambeli,Parus gambeli,1,NA,NA
7410,Chestnut-backed Chickadee,Poecile rufescens,Parus rufescens,0,NA,https://birdsoftheworld.org/bow/species/chbchi/cur/movement
7510,Blue-gray Gnatcatcher,Polioptila caerulea,Polioptila caerulea,1,NA,NA
7540,Townsend's Solitaire,Myadestes townsendi,Myadestes townsendi,1,NA,NA
7550,Wood Thrush,Hylocichla mustelina,Hylocichla mustelina,1,NA,NA
7560,Veery,Catharus fuscescens,Catharus fuscescens,1,NA,NA
7580,Swainson's Thrush,Catharus ustulatus,Catharus ustulatus,1,NA,NA
7590,Hermit Thrush,Catharus guttatus,Catharus guttatus,1,NA,NA
7610,American Robin,Turdus migratorius,Turdus migratorius,1,NA,NA
7660,Eastern Bluebird,Sialia sialis,Sialia sialis,1,NA,NA
