"AOU","fLU_ab","fLU_pr","fLU_tas","Diet.5Cat","IUCN_status","tail","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName","comments","newBT","kipps","HWI","Avibase.ID","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments_gbif","gbif_dwnld_type","cleaned_records","bio1","bio12"
3390,0.04518664,0.632702974,-0.432848965,"VertFishScav","LC","LT","Accipitriformes","Accipitridae","Buteo","lineatus","Red-shouldered Hawk","Buteo lineatus","Buteo lineatus","","Buteo_lineatus",106.925,33.4284617624671,"AVIBASE-EA4D6C0B","9/26/2022",2480529,3039780,3039017,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480529&occurrence_status=present","manual",1465654,13.0782945736435,1104.74846990248
3420,-0.793103448,0.58758497,0.119561494,"VertFishScav","LC","UT","Accipitriformes","Accipitridae","Buteo","swainsoni","Swainson's Hawk","Buteo swainsoni","Buteo swainsoni","","Buteo_swainsoni",175.25,46.6454934180839,"AVIBASE-DE473F42","9/26/2022",2480562,539525,539490,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480562&occurrence_status=present","manual",277856,11.4548158640227,1128.08022377814
3600,-0.340153453,-0.121200316,0.531851852,"Invertebrate","LC","UT","Falconiformes","Falconidae","Falco","sparverius","American Kestrel","Falco sparverius","Falco sparverius","","Falco_sparverius",77.925,43.666501829637,"AVIBASE-20C2214E","9/27/2022",9685907,3935093,3933695,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9685907&occurrence_status=present","manual",1719423,9.52474489795924,1460.03703963522
3850,-0.302970297,1,-1,"VertFishScav","LC","UT","Cuculiformes","Cuculidae","Geococcyx","californianus","Greater Roadrunner","Geococcyx californianus","Geococcyx californianus","","Geococcyx_californianus",12,6.47518680724558,"AVIBASE-DB5DABCF","9/27/2022",2496459,377756,377729,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2496459&occurrence_status=present","manual",63316,15.8880487804878,602.28824550527
3870,-0.147153015,0.140601826,0.444952497,"Invertebrate","LC","UT","Cuculiformes","Cuculidae","Coccyzus","americanus","Yellow-billed Cuckoo","Coccyzus americanus","Coccyzus americanus","","Coccyzus_americanus",62.375,42.9957237666702,"AVIBASE-0CF12F81","9/27/2022",2496287,919155,919015,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2496287&occurrence_status=present","manual",646036,15.3613138686132,1301.28777708203
3930,-1,-0.494725335,0.040421793,"Invertebrate","LC","UT","Piciformes","Picidae","Dryobates","villosus","Hairy Woodpecker","Dryobates villosus","Picoides villosus","manual","Picoides_villosus",32.3777777777778,25.317824643048,"AVIBASE-9D06AF89","9/27/2022",10211179,4609712,4609710,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=10211179&occurrence_status=present","manual",2442537,9.05426829268299,1486.76225505513
3940,0.052294377,-0.444047988,0.442896936,"Invertebrate","LC","LT","Piciformes","Picidae","Dryobates","pubescens","Downy Woodpecker","Dryobates pubescens","Picoides pubescens","","Picoides_pubescens",24.3111111111111,26.9669489181432,"AVIBASE-1B2A6386","9/27/2022",9149595,12045871,12045758,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9149595&occurrence_status=present","manual",5300055,9.53349514563109,1253.76019775679
3970,-1,0.324822695,-0.615763547,"Invertebrate","LC","UT","Piciformes","Picidae","Dryobates","nuttallii","Nuttall's Woodpecker","Dryobates nuttallii","Picoides nuttallii","","Picoides_nuttallii",24.775,24.4105513492526,"AVIBASE-FA087E52","9/27/2022",9088491,755207,755196,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9088491&occurrence_status=present","manual",223725,12.5974285714286,710.65964074865
3990,-1,-0.963386728,1,"Invertebrate","LC","UT","Piciformes","Picidae","Dryobates","albolarvatus","White-headed Woodpecker","Dryobates albolarvatus","Picoides albolarvatus","manual","Picoides_albolarvatus",33.15,25.7995077537594,"AVIBASE-6C74415D","9/24/2022",10876512,70451,70451,NA,"code",70162,8.77741935483874,1020.85359093392
4020,-0.469927562,-0.099561563,-0.258840627,"Omnivore","LC","UT","Piciformes","Picidae","Sphyrapicus","varius","Yellow-bellied Sapsucker","Sphyrapicus varius","Sphyrapicus varius","","Sphyrapicus_varius",42.23,33.8501259940837,"AVIBASE-9BE68BD3","9/30/2022",2478605,1749393,1749314,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478605&occurrence_status=present","manual",1007259,11.2237003058104,1189.45595395358
